Req ID,Area,Requirement,Client Response / Clarification,Status,What Was Done,Contradicts Req
VET-001,Vetting,"Vetting should not be triggered automatically based on a status. There is a cost and we may need to delay checks. Need a 'Start Vetting' button to trigger manually at any point in the process.",,"Completed","Start Vetting button available on all workflow stages and on the candidate profile page. Vetting is manual-only — no automatic triggers.",VET-002
VET-002,Vetting,"Split vetting into two manual triggers: 'Start Referencing' (pushes out refs based on associate portal data — free) and 'Start Full Vetting' (triggers API/Verifile checks and refs if not already started — paid).",,"Completed","Two buttons added to all workflow cards and candidate profile: 'Start Referencing' (blue, references + employment history only) and 'Start Full Vetting' (orange, all 12 checks + Verifile API). New /api/vetting/trigger-referencing route created.",VET-001
VET-003,Vetting,"Sometimes associates do not want us to ask for their current reference until they resign. Need something to allow all refs apart from that one to go if requested by the associate. A question about this in the associate portal will be needed.","","Completed","Added 'Are you happy for us to contact your current employer for a reference? Yes/No' question to associate portal registration form. Stored on Candidate model. When Start Referencing is triggered, current employer reference is auto-held if associate said No. Shown as green/red badge on staff profile.",
VET-004,Vetting,"Card should move to Ready to Contract when vetting is complete. Need an element of checking (QC) before vetting is considered complete — all checks must be QC'd/signed off before someone is fine to contract.","","Completed","QC workflow already built: Submit for QC -> QC Approve (status becomes QC COMPLETE) or QC Reject (goes back). Vetting gate requires ALL 12 checks to be COMPLETE, N/A, REFERRAL APPROVED, or QC COMPLETE before allowing move to Ready to Contract.",
VET-005,Vetting,"Need manual override/waiver to start people with some checks still in progress.","","Completed","Force-move override added. When vetting is incomplete and user tries to move past Ready to Contract, a confirm dialog appears: 'Vetting incomplete: X/12 checks done. Override to proceed?' Override is logged to AuditLog (event_type: compliance) and Candidate Activity Feed.",
DASH-001,Dashboard,"Some tiles at top of page (Associates Offered, Vetting Complete etc.) do not work as expected. E.G. 1 Accepted candidate under Stellantis > DCA Redress. Dashboard shows 0 Associates Offered.","","Completed","Fixed offer_stages list in dashboard query — was using wrong Application.status strings (e.g. 'Offer' instead of 'Offered', missing 'Accepted'). Also fixed Vetting Completed query with same issue.",
DASH-002,Dashboard,"Associates offered button — clicking this takes users to the full Workflow page. Would be good if it can auto apply the relevant filter or focussing so that only candidates in Offered or Accepted are shown.","","Completed","Added focus_stage query param to workflow route. Dashboard tile links to /workflow?stage=offered which auto-focuses the kanban on Offered + Accepted columns only.",
DASH-003,Dashboard,"View Public Listing button on Open jobs > SERVER ERROR.","","Completed","Fixed by moving render_template inside the SQLAlchemy session block. The job object was becoming detached and lazy-loaded relationships (e.g. job.engagement) caused DetachedInstanceError.",
DASH-004,Dashboard,"Remove Revenue Forecast from Dashboard.","","Completed","Deleted the Revenue Forecast calculation block from app.py and the HTML section from dashboard.html.",
WF-001,Workflow,"Would prefer horizontal scroll to start at the edge of the left-hand navigation menu so that this menu is always static.","","Completed","Changed sidebar from position:sticky to position:fixed. Added margin-left to main content area so page scroll starts to the right of the fixed nav. Sidebar always stays visible.",
